Bussiness__City,Bussiness__Country,Bussiness__Description,Bussiness__Name,Bussiness__StreetAddress,Bussiness__Zipcode,Customer__Address__line1,Customer__Address__line2,Customer__Email,Customer__Name,Customer__PhoneNumber,Invoice__BillDetails__Name,Invoice__BillDetails__Quantity,Invoice__BillDetails__Rate,Invoice__Description,Invoice__DueDate,Invoice__IssueDate,Invoice__Number,Invoice__Tax
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",CR57711197909223410839,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Willis_Koelpin4@yahoo.co,,783-402-5895,,,,,,38556,CR57711197909223410839,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",NL57EPAS7793742478,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Willis_Koelpin4@yahoo.co,,783-402-5895,,,,,,38556,NL57EPAS7793742478,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",PK36CC6K4954644659947898,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Cary.Zboncak@gmail.com,,741-215-8162,,,,,,38556,PK36CC6K4954644659947898,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",LT402351922800419994,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Willis_Koelpin4@yahoo.co,,783-402-5895,,,,,,38556,LT402351922800419994,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",GB37WFFO25512305525612,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Cary.Zboncak@gmail.com,,741-215-8162,,,,,,38556,GB37WFFO25512305525612,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",CV38295350742333576611902,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Terri.Ernser@yahoo.com,,415-897-1517,,,,,,38556,CV38295350742333576611902,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",SI22681963519804739,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Candace3@yahoo.com,,633-008-6596,,,,,,38556,SI22681963519804739,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",UA859908357231657281725628046,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Kerry_Bergnaum@yahoo.c,,189-052-5595,,,,,,38556,UA859908357231657281725628046,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",SV97IOAR56444826338915679743,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Willis_Koelpin4@yahoo.co,,783-402-5895,,,,,,38556,SV97IOAR56444826338915679743,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",SK3067398283616501453122,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Don_Zulauf40@hotmail.co,,110-825-4839,,,,,,38556,SK3067398283616501453122,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",BI80984267236362,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Don_Zulauf40@hotmail.co,,110-825-4839,,,,,,38556,BI80984267236362,
"3741 Glory Road, Jamestown","MT80CYHE09656QS2R54YRTIVEOKVL4T
Tennessee","USA Issue date
38556 12","2023
NearBy Electronics","3741 Glory Road, Jamestown, MT80CYHE09656QS2R54YRTIVEOKVL4T
Tennessee, USA Issue date
38556 12",3741,"3741 Glory Road, Jamestown, MT80CYHE09656QS2R54YRTIVEOKVL4T
Tennessee, USA Issue date
38556 12","3741 Glory Road, Jamestown, MT80CYHE09656QS2R54YRTIVEOKVL4T
Tennessee, USA Issue date
38556 12",Candace3@yahoo.com,,633-008-6596,,,,,,38556,3741,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",IR532346763905720293269112,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Willis_Koelpin4@yahoo.co,,783-402-5895,,,,,,38556,IR532346763905720293269112,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",PL78471652155541337034579773,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Candace3@yahoo.com,,633-008-6596,,,,,,38556,PL78471652155541337034579773,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",CH3503640XOWVOKEUAFXQ,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Terri.Ernser@yahoo.com,,415-897-1517,,,,,,38556,CH3503640XOWVOKEUAFXQ,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",GL8846043158973752,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Candace3@yahoo.com,,633-008-6596,,,,,,38556,GL8846043158973752,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",IR221573485306805661342105,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Terri.Ernser@yahoo.com,,415-897-1517,,,,,,38556,IR221573485306805661342105,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",MG43799913223025YHO9FCZA277,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Kerry_Bergnaum@yahoo.c,,189-052-5595,,,,,,38556,MG43799913223025YHO9FCZA277,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",VA06O4W820656992124505,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Kerry_Bergnaum@yahoo.c,,189-052-5595,,,,,,38556,VA06O4W820656992124505,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",TN6275297B465GI231VBGECC,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Willis_Koelpin4@yahoo.co,,783-402-5895,,,,,,38556,TN6275297B465GI231VBGECC,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",CM2965582947879253825248669,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Kerry_Bergnaum@yahoo.c,,189-052-5595,,,,,,38556,CM2965582947879253825248669,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",FO6266975292153960,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Cary.Zboncak@gmail.com,,741-215-8162,,,,,,38556,FO6266975292153960,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",EG059246723727279534566806215,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Candace3@yahoo.com,,633-008-6596,,,,,,38556,EG059246723727279534566806215,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",BI92052533726834,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Candace3@yahoo.com,,633-008-6596,,,,,,38556,BI92052533726834,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",NL21QPRB2424672182,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Terri.Ernser@yahoo.com,,415-897-1517,,,,,,38556,NL21QPRB2424672182,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",PL06549514582519367096003927,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Garry_Hegmann59@hotma,,750-257-9345,,,,,,38556,PL06549514582519367096003927,
"3741 Glory Road, Jamestown","MT10JMMO190261WIWDX4LF7SDF2KQYO
Tennessee","USA Issue date
38556 12","2023
NearBy Electronics","3741 Glory Road, Jamestown, MT10JMMO190261WIWDX4LF7SDF2KQYO
Tennessee, USA Issue date
38556 12",3741,"3741 Glory Road, Jamestown, MT10JMMO190261WIWDX4LF7SDF2KQYO
Tennessee, USA Issue date
38556 12","3741 Glory Road, Jamestown, MT10JMMO190261WIWDX4LF7SDF2KQYO
Tennessee, USA Issue date
38556 12",Terri.Ernser@yahoo.com,,415-897-1517,,,,,,38556,3741,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",CZ3912976277760755673015,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Terri.Ernser@yahoo.com,,415-897-1517,,,,,,38556,CZ3912976277760755673015,
"3741 Glory Road, Jamestown","AZ09UNDM26BG06WQ2L4HXN3GN03P
Tennessee","USA Issue date
38556 12","2023
NearBy Electronics","3741 Glory Road, Jamestown, AZ09UNDM26BG06WQ2L4HXN3GN03P
Tennessee, USA Issue date
38556 12",3741,"3741 Glory Road, Jamestown, AZ09UNDM26BG06WQ2L4HXN3GN03P
Tennessee, USA Issue date
38556 12","3741 Glory Road, Jamestown, AZ09UNDM26BG06WQ2L4HXN3GN03P
Tennessee, USA Issue date
38556 12",Terri.Ernser@yahoo.com,,415-897-1517,,,,,,38556,3741,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",TG04EM6808839862502629422968,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Kerry_Bergnaum@yahoo.c,,189-052-5595,,,,,,38556,TG04EM6808839862502629422968,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",XK146147219503546596,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Kerry_Bergnaum@yahoo.c,,189-052-5595,,,,,,38556,XK146147219503546596,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",ME98088238807100643329,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Jill.Schowalter@gmail.com,,222-254-5978,,,,,,38556,ME98088238807100643329,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",NL67RPUC9876715202,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Cary.Zboncak@gmail.com,,741-215-8162,,,,,,38556,NL67RPUC9876715202,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",MK495804UZ2P32RXD77,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Candace3@yahoo.com,,633-008-6596,,,,,,38556,MK495804UZ2P32RXD77,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",GI50QNTDH85DMA84UWNQSIG,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Garry_Hegmann59@hotma,,750-257-9345,,,,,,38556,GI50QNTDH85DMA84UWNQSIG,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",SV02NTUF84043881431338002784,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Terri.Ernser@yahoo.com,,415-897-1517,,,,,,38556,SV02NTUF84043881431338002784,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",FO5835379396858343,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Cary.Zboncak@gmail.com,,741-215-8162,,,,,,38556,FO5835379396858343,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",DK4790859333570403,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Cary.Zboncak@gmail.com,,741-215-8162,,,,,,38556,DK4790859333570403,
"3741 Glory Road, Jamestown","NI65NDII966155981059553344708700
Tennessee","USA Issue date
38556 12","2023
NearBy Electronics","3741 Glory Road, Jamestown, NI65NDII966155981059553344708700
Tennessee, USA Issue date
38556 12",3741,"3741 Glory Road, Jamestown, NI65NDII966155981059553344708700
Tennessee, USA Issue date
38556 12","3741 Glory Road, Jamestown, NI65NDII966155981059553344708700
Tennessee, USA Issue date
38556 12",Darlene.Bosco@gmail.com,,964-775-2409,,,,,,38556,3741,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",BH09CIYS4LN2CAPTR4WF8O,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Jill.Schowalter@gmail.com,,222-254-5978,,,,,,38556,BH09CIYS4LN2CAPTR4WF8O,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",PL77678066447653534291577565,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Garry_Hegmann59@hotma,,750-257-9345,,,,,,38556,PL77678066447653534291577565,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",SV88JAVJ47172859123136611107,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Terri.Ernser@yahoo.com,,415-897-1517,,,,,,38556,SV88JAVJ47172859123136611107,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",GB36DGJW55993237750895,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Willis_Koelpin4@yahoo.co,,783-402-5895,,,,,,38556,GB36DGJW55993237750895,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",CR60424819916608284676,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Candace3@yahoo.com,,633-008-6596,,,,,,38556,CR60424819916608284676,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",LT188314576842376825,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Richard_Rodriguez@hotm,,402-261-8314,,,,,,38556,LT188314576842376825,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",FR872290774839BQSM7IYG2JL13,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Willis_Koelpin4@yahoo.co,,783-402-5895,,,,,,38556,FR872290774839BQSM7IYG2JL13,
"3741 Glory Road, Jamestown","QA23GSEDDLR17T5THL7KRIELFWJ9K
Tennessee","USA Issue date
38556 12","2023
NearBy Electronics","3741 Glory Road, Jamestown, QA23GSEDDLR17T5THL7KRIELFWJ9K
Tennessee, USA Issue date
38556 12",3741,"3741 Glory Road, Jamestown, QA23GSEDDLR17T5THL7KRIELFWJ9K
Tennessee, USA Issue date
38556 12","3741 Glory Road, Jamestown, QA23GSEDDLR17T5THL7KRIELFWJ9K
Tennessee, USA Issue date
38556 12",Terri.Ernser@yahoo.com,,415-897-1517,,,,,,38556,3741,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",VA79BS9703382218861658,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Don_Zulauf40@hotmail.co,,110-825-4839,,,,,,38556,VA79BS9703382218861658,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",BH62DXYU4QKQNTE8JZNQ9T,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Candace3@yahoo.com,,633-008-6596,,,,,,38556,BH62DXYU4QKQNTE8JZNQ9T,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",LY13383655431376939847990,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Kerry_Bergnaum@yahoo.c,,189-052-5595,,,,,,38556,LY13383655431376939847990,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",DJ196692345471QU7QUNRNTAQ89,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Richard_Rodriguez@hotm,,402-261-8314,,,,,,38556,DJ196692345471QU7QUNRNTAQ89,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",SE1605804413837873518350,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Garry_Hegmann59@hotma,,750-257-9345,,,,,,38556,SE1605804413837873518350,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",FI3625455076086321,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Garry_Hegmann59@hotma,,750-257-9345,,,,,,38556,FI3625455076086321,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",AE731492TIOBCCUXSXS9RVG,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Don_Zulauf40@hotmail.co,,110-825-4839,,,,,,38556,AE731492TIOBCCUXSXS9RVG,
"3741 Glory Road, Jamestown","LC17VZPD576879350529704623681613
Tennessee","USA Issue date
38556 12","2023
NearBy Electronics","3741 Glory Road, Jamestown, LC17VZPD576879350529704623681613
Tennessee, USA Issue date
38556 12",3741,"3741 Glory Road, Jamestown, LC17VZPD576879350529704623681613
Tennessee, USA Issue date
38556 12","3741 Glory Road, Jamestown, LC17VZPD576879350529704623681613
Tennessee, USA Issue date
38556 12",Terri.Ernser@yahoo.com,,415-897-1517,,,,,,38556,3741,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",SK0969237618987256367299,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Garry_Hegmann59@hotma,,750-257-9345,,,,,,38556,SK0969237618987256367299,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",EG050391846172550196059974631,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Garry_Hegmann59@hotma,,750-257-9345,,,,,,38556,EG050391846172550196059974631,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",IR459008121894452008730027,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Garry_Hegmann59@hotma,,750-257-9345,,,,,,38556,IR459008121894452008730027,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",HU09591267295510040401720839,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Don_Zulauf40@hotmail.co,,110-825-4839,,,,,,38556,HU09591267295510040401720839,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",BA920432325129666746,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Jill.Schowalter@gmail.com,,222-254-5978,,,,,,38556,BA920432325129666746,
